NO_OF_FRAMES	3638
NO_OF_CAMERAS	20
NO_OF_BODIES	1
FREQUENCY	100
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2021-01-29, 17:27:17.359	4079.31885170
DATA_INCLUDED	6D
BODY_NAMES	Tiago_Base
BODY_FILTERS	No filter
Frame	Time	Tiago_Base X	Y	Z	Roll	Pitch	Yaw	Residual	Rot[0]	Rot[1]	Rot[2]	Rot[3]	Rot[4]	Rot[5]	Rot[6]	Rot[7]	Rot[8]	
1	0.00000	1216.55114	312.16439	285.02600	0.25302	-0.11898	14.90854	0.20952	0.96634	0.25727	0.00314	-0.25728	0.96633	0.00373	-0.00208	-0.00442	0.99999	
2	0.01000	1216.83206	311.16890	285.02612	0.25227	-0.11270	14.73757	0.20197	0.96710	0.25438	0.00302	-0.25439	0.96709	0.00376	-0.00197	-0.00440	0.99999	
3	0.02000	1217.09423	310.18091	285.05739	0.25135	-0.11341	14.57792	0.21959	0.96780	0.25169	0.00302	-0.25170	0.96780	0.00375	-0.00198	-0.00439	0.99999	
4	0.03000	1217.33769	309.16459	285.07093	0.24410	-0.11962	14.40721	0.22569	0.96855	0.24880	0.00308	-0.24881	0.96855	0.00361	-0.00209	-0.00426	0.99999	
5	0.04000	1217.61689	308.19015	285.05635	0.23321	-0.11353	14.23104	0.23632	0.96931	0.24582	0.00292	-0.24583	0.96931	0.00346	-0.00198	-0.00407	0.99999	
6	0.05000	1217.84630	307.17897	285.05075	0.23328	-0.11735	14.05336	0.23487	0.97007	0.24282	0.00298	-0.24282	0.97006	0.00345	-0.00205	-0.00407	0.99999	
7	0.06000	1218.06667	306.15245	284.91531	0.25981	-0.10028	13.86113	0.20778	0.97088	0.23956	0.00279	-0.23957	0.97087	0.00398	-0.00175	-0.00453	0.99999	
8	0.07000	1218.35281	305.16155	284.88496	0.25373	-0.09602	13.68443	0.22176	0.97161	0.23656	0.00268	-0.23657	0.97161	0.00391	-0.00168	-0.00443	0.99999	
9	0.08000	1218.61614	304.17422	284.85911	0.25293	-0.09165	13.51673	0.21180	0.97230	0.23372	0.00259	-0.23373	0.97229	0.00392	-0.00160	-0.00441	0.99999	
10	0.09000	1218.87001	303.18074	284.83147	0.24136	-0.09286	13.33746	0.22468	0.97303	0.23068	0.00255	-0.23069	0.97302	0.00373	-0.00162	-0.00421	0.99999	
11	0.10000	1219.04850	302.16243	284.80495	0.26596	-0.10299	13.16036	0.23390	0.97374	0.22767	0.00281	-0.22768	0.97373	0.00411	-0.00180	-0.00464	0.99999	
12	0.11000	1219.22537	301.13761	284.81121	0.27143	-0.10332	12.99238	0.23184	0.97440	0.22481	0.00282	-0.22482	0.97439	0.00421	-0.00180	-0.00474	0.99999	
13	0.12000	1219.49564	300.11972	284.84353	0.26942	-0.10316	12.81549	0.19972	0.97509	0.22180	0.00280	-0.22181	0.97508	0.00419	-0.00180	-0.00470	0.99999	
14	0.13000	1219.67019	299.12872	284.80579	0.27671	-0.10571	12.64162	0.22019	0.97576	0.21884	0.00286	-0.21885	0.97575	0.00431	-0.00185	-0.00483	0.99999	
15	0.14000	1219.90376	298.12520	284.78312	0.27867	-0.11317	12.47495	0.23584	0.97639	0.21600	0.00298	-0.21601	0.97638	0.00432	-0.00198	-0.00486	0.99999	
16	0.15000	1220.11914	297.10404	284.78308	0.27930	-0.11665	12.29940	0.23682	0.97705	0.21301	0.00303	-0.21302	0.97704	0.00433	-0.00204	-0.00487	0.99999	
17	0.16000	1220.28996	295.94279	284.88064	0.23077	-0.09856	12.12266	0.31880	0.97770	0.21000	0.00253	-0.21001	0.97769	0.00358	-0.00172	-0.00403	0.99999	
